nr_registro;marca_comercial;formulacao;ingrediente_ativo;titular_de_registro;classe;modo_de_acao;classe_toxicologica;classe_ambiental;organicos;situacao
44318;Electro;EC - Concentrado Emulsionável;clomazona (isoxazolidinona) (500 g/L);Ouro Fino Química S.A. - Uberaba;Herbicida;Sistêmico/Seletivo;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
20622;Elegance 500 SC;SC - Suspensão Concentrada;fluazinam (fenilpiridinilamina) (500 g/L);Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial;Acaricida/Fungicida;Contato/Ingestão;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
9417;Eleitto;OD - Dispersão de Óleo;acetamiprido (neonicotinóide) (167 g/L) + etofenproxi (éter difenílico) (300 g/L);Iharabras S.A. Indústria Químicas - Sorocaba;Inseticida;SISTÊMICO E CONTATO.;Categoria 4  Produto Pouco Tóxico;Produto Altamente Perigoso ao Meio Ambiente;NAO;True
22222;Elestal 300 SC;SC - Suspensão Concentrada;Espiropidion (ácido tetramico ) (300 g/L);Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
52525;Elestal Fit;SC - Suspensão Concentrada;Espiropidion (ácido tetramico ) (300 g/L);Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
123;Elestal Neo;WG - Grânulos Dispersíveis em Água;acetamiprido (neonicotinóide) (240 g/kg) + Espiropidion (ácido tetramico ) (300 g/kg);Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
10909;Eleve;WP - Pó Molhável;mancozebe (alquilenobis(ditiocarbamato)) (800 g/kg);Ouro Fino Química S.A. - Uberaba;Acaricida/Fungicida;Contato;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;OUTROS;True
26123;Elevore;SC - Suspensão Concentrada;Halauxifen-metil (ácido piridinocarboxílico) (71.4 g/L);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Herbicida;Não informado;Não Classificado - Produto Não Classificado;Produto Perigoso ao Meio Ambiente;NAO;True
5123;Elglysate 480 SL;SL - Concentrado Solúvel;glifosato-sal de isopropilamina (glicina substituída) (480 g/L);Agroallianz S.A;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
26121;Eliack;SC - Suspensão Concentrada;sulfentrazona (triazolona) (500 g/L);Ascenza Brasil Ltda - Hortolândia/SP;Herbicida;Sistêmico/ Seletivo Condicional;Categoria 3  Produto Moderadamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
921;Eliminate;SL - Concentrado Solúvel;Glufosinato - sal de amônio (homoalanina substituída) (200 g/L);CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
46625;Eliminate Ultra;WG - Grânulos Dispersíveis em Água;Glufosinato - sal de amônio (homoalanina substituída) (850 g/kg);CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR;Herbicida/Regulador de Crescimento;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
