nr_registro;marca_comercial;formulacao;ingrediente_ativo;titular_de_registro;classe;modo_de_acao;classe_toxicologica;classe_ambiental;organicos;situacao
35523;KBR-829M1-02;Nematóides vivos;Heterorhabditis bacteriophora (Nematóides entomopatogênicos) (840 g/kg);Koppert do Brasil Holding S.A. - Piracicaba/SP;Agente Biológico de Controle;Não informado;Não Classificado - Produto Não Classificado;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
33723;KBR-S39M1-02;Nematóides vivos;Steinernema carpocapsae (Nematóides entomopatogênicos) (840 grama);Koppert do Brasil Holding S.A. - Piracicaba/SP;Agente Biológico de Controle;Não informado;Não Classificado - Produto Não Classificado;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
17622;1,4 Sight;HN - Concentrado Termo Nebulizável;1,4 Dimetilnaftaleno (hidrocarbonetos aromáticos) (997.7 g/L);Bem Brasil Alimentos S/A.  Perdizes/MG;Regulador de Crescimento;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
31918;2,4-D (240) + Picloram (64) SL;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (406 g/L) + picloram (ácido piridinocarboxílico) (103.6 g/L);CCAB Agro S.A.   São Paulo;Herbicida;sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
13525;2,4-D + Picloram CAC;SL - Concentrado Solúvel;2,4-D-trietanolamina (ácido ariloxialcanóico) (402 g/L) + picloram-trietanolamina (ácido piridinocarboxílico) (103.6 g/L);CAC Quimica do Brasil Ltda;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
37825;2,4-D 240 + Picloram 64 Sino-Agri;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (411 g/L) + picloram (ácido piridinocarboxílico) (106.75 g/L);Inovatis Agronegocios Importação e Exportação Ltda.;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
1215;2,4-D 806 RN;SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (806 g/L);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Herbicida;sistêmico e seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;OUTROS;True
6715;"2,4-D 806 SL Alamos; 2,4-D 806 SL Crotect;";SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (806 g/L);Crotect Crop Science Ltda - São Paulo/SP;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
2025;2,4-D 806 SL Perterra;SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (806 g/L);Perterra Insumos Agropecuários S.A.  São Paulo/SP;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
20524;2,4-D 806 SL TSC;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);Suno Agrotech Ltda.;Herbicida;Sistêmico/Seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
11824;2,4-D 806 SL ZHC;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);AllierBrasil Agro Ltda.;Herbicida;Sistêmico/Seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
56425;2,4-D A Nortox;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (596.9 g/L) + Aminopiralide (ácido piridiniloxialcanóico) (76.9 g/L);Nortox S.A. - Arapongas;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
7508;2,4-D AGCN;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP;Herbicida;Sistêmico e seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
44924;2,4-D Acid 866 SL;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (866 g/L);Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA;Herbicida;Seletivo e sistêmico;Extremamente Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
2801;2,4-D Agritec;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (867 g/L);Agritec Ind. Brasileira de Herbicidas Ltda.;Herbicida;Hormonal seletivo;Extremamente Tóxico;Produto Perigoso ao Meio Ambiente;OUTROS;True
41418;2,4-D Agroimport;SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (806 g/L);Agro Import do Brasil Ltda. - Porto Alegre/RS;Herbicida;Sistêmico/ Seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
6615;2,4-D Amina CCAB 806 SL;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);CCAB Agro S.A.   São Paulo;Herbicida;sistêmico e seletivo.;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;OUTROS;True
13425;2,4-D C 806 SL Perterra;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);Perterra Insumos Agropecuários S.A.  São Paulo/SP;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
11708;2,4-D CHD'S;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR;Herbicida;sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
21316;2,4-D CROP 806 SL;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial;Herbicida;sistêmico e seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
1228803;2,4-D Copalliance;SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (867 g/L);Copalliance S.A. - Campinas;Herbicida;Seletivo de ação sistêmica.;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
23824;2,4-D DMA 806 SL CAC;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/L);CAC Quimica do Brasil Ltda;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
3009;2,4-D Nortox;SL - Concentrado Solúvel;2,4-D (ácido ariloxialcanóico) (806 g/kg);Nortox S.A. - Arapongas;Herbicida;Sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
2920;2,4-D Nortox 970 WG;WG - Grânulos Dispersíveis em Água;2,4-D (ácido ariloxialcanóico) (970 g/kg);Nortox S.A. - Arapongas;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
215;2,4-D R 806 SL Perterra;SL - Concentrado Solúvel;2,4-D amina (ácido ariloxialcanóico) (806 g/L);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Herbicida;Sistêmica;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
42318;2,4-D Super Amine SG;WG - Grânulos Dispersíveis em Água;2,4-D (ácido ariloxialcanóico) (975 g/kg);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Herbicida;Sistêmico/ Seletivo;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
6515;2,4-D Tecnomyl;SL - Concentrado Solúvel;2,4-D-dimetilamina (ácido ariloxialcanóico) (806 g/L);Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;Herbicida;seletivo e sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;OUTROS;True
3626;2,4-D+Picloram 304 SL Yonon;SL - Concentrado Solúvel;2,4-d-triisopropanolamina (ácido ariloxialcanóico) (422 g/L) + picloram-triisopropanolamina   (ácido piridinocarboxílico) (112 g/L);Yonon Brasil Defensivos Agricolas Ltda;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
29225;80 Fluroxipyr Meptilico 80 Picloram CCAB ME;ME - Micro Emulsão;Fluroxipir-meptílico (ácido piridiniloxialcanóico) (115.2 g/L) + picloram (ácido piridinocarboxílico) (80 g/L);CCAB Agro S.A.   São Paulo;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
16524;ADA FH 0108/17;OD - Dispersão de Óleo;clomazona (isoxazolidinona) (280 g/L) + diurom (uréia) (250 g/L) + hexazinona (triazinona) (70 g/L);Adama Brasil S.A.- Londrina/PR;Herbicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
9024;ADA FI 0021/15;WG - Grânulos Dispersíveis em Água;acefato (organofosforado) (970 g/kg);Adama Brasil S.A.- Londrina/PR;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
8921;ADOBE 450 FS;FS - Suspensão Concentrada p/ Trat. Sementes;ipconazol (triazol) (450 g/L);UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP;Fungicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
44925;AG Trimmon Pro;SC - Suspensão Concentrada;Trichoderma harzianum, isolado IB 19/17 (Produto Microbiológico) (930 g/L);Binova Agro Industrial Ltda;Fungicida microbiológico;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Pouco Perigoso ao Meio Ambiente;SIM;True
11526;ANTÜ 50 EC;EC - Concentrado Emulsionável;lufenurom (benzoiluréia) (50 g/L);Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.;Inseticida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
6526;APSML;WG - Grânulos Dispersíveis em Água;acetamiprido (neonicotinóide) (400 g/kg) + piriproxifem (éter piridiloxipropílico) (160 g/kg);Syncrom Assessoria e Comércio de Produtos Agropecuários  Ltda.;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Altamente Perigoso ao Meio Ambiente;NAO;True
34818;AUG 103;WG - Grânulos Dispersíveis em Água;clorimurom-etílico (sulfoniluréia) (150 g/kg) + imazetapir (imidazolinona) (450 g/kg);Avgust Crop Protection Importação e Exportação Ltda.;Herbicida;sistêmico e seletivo.;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
17322;AUG 106;FS - Suspensão Concentrada p/ Trat. Sementes;imidacloprido (neonicotinóide) (500 g/L);Avgust Crop Protection Importação e Exportação Ltda.;Inseticida;sistêmico.;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
21616;AUG 117;EC - Concentrado Emulsionável;propiconazol (triazol) (300 g/L) + tebuconazol (triazol) (200 g/L);Avgust Crop Protection Importação e Exportação Ltda.;Fungicida;sistêmico.;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
15816;AUG 122;SC - Suspensão Concentrada;nicossulfurom (sulfoniluréia) (40 g/L);Avgust Crop Protection Importação e Exportação Ltda.;Herbicida;sistêmico seletivo;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;OUTROS;True
32218;AUG 126;EC - Concentrado Emulsionável;quizalofope-P-etílico (ácido ariloxifenoxipropiônico) (125 g/L);Avgust Crop Protection Importação e Exportação Ltda.;Herbicida;seletivo.;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
13923;AUG 126 EC;EC - Concentrado Emulsionável;quizalofope-P-etílico (ácido ariloxifenoxipropiônico) (125 g/L);Avgust Crop Protection Importação e Exportação Ltda.;Herbicida;Sistêmico/Seletivo;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
14523;AUG 126 EC BR;EC - Concentrado Emulsionável;quizalofope-P-etílico (ácido ariloxifenoxipropiônico) (125 g/L);Avgust Crop Protection Importação e Exportação Ltda.;Herbicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
22422;AUG 134;SC - Suspensão Concentrada;imidacloprido (neonicotinóide) (500 g/L);Avgust Crop Protection Importação e Exportação Ltda.;Inseticida;Sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
40017;AUG 137;EC - Concentrado Emulsionável;tebuconazol (triazol) (250 g/L);Avgust Crop Protection Importação e Exportação Ltda.;Fungicida;Sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
2923;Aba 400 WG Nortox;WG - Grânulos Dispersíveis em Água;Abamectina (avermectina) (400 g/kg);Nortox S.A. - Arapongas;Acaricida/Inseticida/Nematicida;Não informado;Categoria 2  Produto Altamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
9210;Abacus HC;SC - Suspensão Concentrada;epoxiconazol (triazol) (160 g/L) + piraclostrobina (estrobilurina) (260 g/L);Basf Agricultural Solutions Brasil Ltda  SãoPaulo/SP;Fungicida;Sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
1520;Abaday;SC - Suspensão Concentrada;lufenurom (benzoiluréia) (50 g/L) + tiodicarbe (metilcarbamato de oxima) (300 g/L);Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
19917;Abadin 72 EC;EC - Concentrado Emulsionável;Abamectina (avermectina) (72 g/L);Cropchem Ltda - Porto Alegre;Inseticida;Contato;Categoria 3  Produto Moderadamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
29617;Abamectin 72 EC Nortox;EC - Concentrado Emulsionável;Abamectina (avermectina) (72 g/L);Nortox S.A. - Arapongas;Acaricida/Inseticida;Contato/ Ingestão;Categoria 3  Produto Moderadamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
39825;Abamectin CCAB 18 EC II;EC - Concentrado Emulsionável;Abamectina (avermectina) (18 g/L);CCAB Agro S.A.   São Paulo;Acaricida/Inseticida/Nematicida;Sistêmico/Contato;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
5501;Abamectin Nortox;EC - Concentrado Emulsionável;Abamectina (avermectina) (18 g/L);Nortox S.A. - Arapongas;Acaricida/Inseticida;De contato e ingestão;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
6020;Abamectin Nortox 400 WG;WG - Grânulos Dispersíveis em Água;Abamectina (avermectina) (400 g/kg);Nortox S.A. - Arapongas;Acaricida/Inseticida/Nematicida;Não informado;Categoria 2  Produto Altamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
3624;Abamectin Nortox 72 EC;EC - Concentrado Emulsionável;Abamectina (avermectina) (72 g/L);Nortox S.A. - Arapongas;Inseticida;Não informado;Categoria 3  Produto Moderadamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
806;Abamectin Prentiss;EC - Concentrado Emulsionável;Abamectina (avermectina) (18 g/L);Prentiss Química Ltda. - Campo Largo/PR;Acaricida/Inseticida;Contato;Categoria 3  Produto Moderadamente Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
3801;Abamex;EC - Concentrado Emulsionável;Abamectina (avermectina) (18 g/L);Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;Acaricida/Inseticida;De contato e ingestão;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
5221;Abamex Maxx;EC - Concentrado Emulsionável;Abamectina (avermectina) (72 g/L);Cropchem Ltda - Porto Alegre;Acaricida/Inseticida;Não informado;Categoria 3  Produto Moderadamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
2798;Able;SC - Suspensão Concentrada;Bacillus thuringiensis (Produto Microbiológico) (72 g/L);Mitsui & Co (Brasil) S.A.;Inseticida Microbiológico;Ingestão;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
12014;Abone;SC - Suspensão Concentrada;diurom (uréia) (980 g/L);Albaugh Agro Brasil Ltda.- São Paulo;Herbicida;sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;OUTROS;True
16117;Absoluto 500 SC;SC - Suspensão Concentrada;clorotalonil (isoftalonitrila) (500 g/L);Iharabras S.A. Indústria Químicas - Sorocaba;Fungicida;Contato;Categoria 3  Produto Moderadamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
28517;Absoluto Fix;SC - Suspensão Concentrada;clorotalonil (isoftalonitrila) (720 g/L);Iharabras S.A. Indústria Químicas - Sorocaba;Fungicida;Contato;Categoria 2  Produto Altamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
1205;Academic;WP - Pó Molhável;cimoxanil (acetamida) (60 g/kg) + mancozebe (alquilenobis(ditiocarbamato)) (700 g/kg);Oxon Brasil Defensivos Agrícolas Ltda.;Fungicida;Sistêmico e de contato;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;NAO;True
50625;Acam 200 SP;SP - Pó Solúvel;acetamiprido (neonicotinóide) (200 g/kg);AllierBrasil Agro Ltda.;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
24918;Acanein 18 EC;EC - Concentrado Emulsionável;Abamectina (avermectina) (18 g/L);Agroallianz S.A;Inseticida;Não informado;Categoria 3  Produto Moderadamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
8420;Acapela;SC - Suspensão Concentrada;Picoxistrobina (estrobilurina) (250 g/L);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Fungicida;sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
9120;Acapela BR;SC - Suspensão Concentrada;Picoxistrobina (estrobilurina) (250 g/L);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Fungicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
13622;Acarigen;EC - Concentrado Emulsionável;Abamectina (avermectina) (18 g/L);Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;Acaricida/Inseticida/Nematicida;Contato/Ingestão;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
42325;Acarigen 84 SC;SC - Suspensão Concentrada;Abamectina (avermectina) (84 g/L);Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu;Acaricida/Inseticida/Nematicida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
303;Acarit;EC - Concentrado Emulsionável;propargito (sulfito de alquila) (720 g/L);Adama Brasil S.A.- Londrina/PR;Acaricida;De contato;Categoria 3  Produto Moderadamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;OUTROS;True
12208;Acarit EC;EC - Concentrado Emulsionável;propargito (sulfito de alquila) (720 g/L);Adama Brasil S.A.- Londrina/PR;Acaricida;contato;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;OUTROS;True
2823;Accede;SG - Granulado Solúvel;1-Aminocyclopropane-1-carboxylic acid (Precursor de etileno) (400 g/kg);Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;Regulador de Crescimento;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
35521;Accel;SL - Concentrado Solúvel;benziladenina (citocinina) (20 g/L);Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;Regulador de Crescimento;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
5806;Accent;WG - Grânulos Dispersíveis em Água;nicossulfurom (sulfoniluréia) (750 g/kg);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Herbicida;Seletivo e sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;OUTROS;True
11126;Accipiter;EC - Concentrado Emulsionável;bifentrina (piretróide) (100 g/L);ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba;Acaricida/Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
7326;Accurate Plus;SC - Suspensão Concentrada;Bacillus thuringiensis var. kurstaki, isolado HD-1 (S1450) (Produto Microbiológico) (700 ml/litro);Agribiol  Biológicos Agrícolas Ltda;Inseticida Microbiológico;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Pouco Perigoso ao Meio Ambiente;SIM;True
39324;Accurate S;SC - Suspensão Concentrada;Bacillus thuringiensis, cepa CCT 8217 (Biológico) (40 g/L);Bionat Soluções Biologicas Ltda;Inseticida Microbiológico;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
4193;"Acebeats 750 SP; Acecopa 750 SP; AceElimina;";SP - Pó Solúvel;acefato (organofosforado) (750 g/kg);Agrobeats Defensivos Agrícolas Ltda;Inseticida;Sistêmico, de contato e ingestão;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
5124;"Acedemar; Shacal;";SG - Granulado Solúvel;acefato (organofosforado) (970 g/kg);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Inseticida;Sistêmico/Contato/Ingestão;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
38618;Acefato CCAB 750 SP;SP - Pó Solúvel;acefato (organofosforado) (750 g/kg);CCAB Agro S.A.   São Paulo;Inseticida;De contato e ingestão;Categoria 2  Produto Altamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
26024;Acefato CCAB 950 SG;SG - Granulado Solúvel;acefato (organofosforado) (950 g/kg);CCAB Agro S.A.   São Paulo;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
42125;Acefato CCAB 970 SG;SG - Granulado Solúvel;acefato (organofosforado) (970 g/kg);CCAB Agro S.A.   São Paulo;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
458294;"Acefato Fersol 750 SP; Arcanjo 750 ZS;";SP - Pó Solúvel;acefato (organofosforado) (750 g/kg);Ameribrás Indústria e Comércio Ltda.;Acaricida/Inseticida;Sistêmico;Categoria 4  Produto Pouco Tóxico;Produto Perigoso ao Meio Ambiente;NAO;True
16024;Acefato Max Nortox;SG - Granulado Solúvel;acefato (organofosforado) (970 g/kg);Nortox S.A. - Arapongas;Inseticida;Sistêmico/Contato;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
16907;Acefato Nortox;SP - Pó Solúvel;acefato (organofosforado) (750 g/L);Nortox S.A. - Arapongas;Inseticida;Sistêmico, contato e ingestão.;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
417;Acefato Sumitomo 750 SP;SP - Pó Solúvel;acefato (organofosforado) (750 g/kg);Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE;Inseticida;sistêmico, de ingestão e de contato;Categoria 2  Produto Altamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
27323;"Acegol; Acertamax CHDS; Sandal Max TM;";WG - Grânulos Dispersíveis em Água;acetamiprido (neonicotinóide) (725 g/kg);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
8311;Acehero;SP - Pó Solúvel;acefato (organofosforado) (750 g/kg);Coromandel América S.A;Inseticida;Contato e ingestão;Categoria 2  Produto Altamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
20723;"Acemip; Estralis;";SP - Pó Solúvel;acetamiprido (neonicotinóide) (200 g/kg);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Inseticida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
8625;Acephate 90 SP Agrogill;SP - Pó Solúvel;acefato (organofosforado) (900 g/kg);Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.;Acaricida/Inseticida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
46025;Acephate 97% SG GSP;SG - Granulado Solúvel;acefato (organofosforado) (970 g/kg);GSP Agroquímica do Brasil Ltda - Porto Alegra/RS;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
45925;Acephate 97% SG GSP II;SG - Granulado Solúvel;acefato (organofosforado) (970 g/kg);GSP Agroquímica do Brasil Ltda - Porto Alegra/RS;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
14320;Acera;EC - Concentrado Emulsionável;Bacillus thuringiensis (Produto Microbiológico) (64 g/L);Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP;Inseticida Microbiológico;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
2093;"Acert; Agil;";EC - Concentrado Emulsionável;propaquizafope (ácido ariloxifenoxipropiônico) (100 g/L);Adama Brasil S.A.- Londrina/PR;Herbicida;Sistêmico e seletivo;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;OUTROS;True
2218;Aceta;SP - Pó Solúvel;acetamiprido (neonicotinóide) (200 g/kg);Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP;Inseticida;Sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Muito Perigoso ao Meio Ambiente;NAO;True
1326;Aceta+Bif B2;WG - Grânulos Dispersíveis em Água;acetamiprido (neonicotinóide) (250 g/kg) + bifentrina (piretróide) (250 g/kg);Perterra Insumos Agropecuários S.A.  São Paulo/SP;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Altamente Perigoso ao Meio Ambiente;NAO;True
9126;Acetamiprid 200 SP Proventis;SP - Pó Solúvel;acetamiprido (neonicotinóide) (200 g/kg);Proventis Lifescience Defensivos Agrícolas Ltda;Inseticida;Não informado;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
