titular_de_registro;empresa_pais_tipo;empresa_estado;empresa_pais_mencionado;tipo_empresa
ISK Biosciences do Brasil Defensivos Agricolas Ltda;(Ishihara Sangyo Kaisha  LTD (Sede)<JAPÃO>FORMULADOR) +  (Ishihara Sangyo Kaisha Ltd. (Fábrica)<JAPÃO>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Nortox S.A. - Arapongas<BRASIL>IMPORTADOR);;JAPÃO;Com presença internacional
Prentiss Química Ltda. - Campo Largo/PR;(Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Tide do Brasil Ltda - Porto Alegre/RS<BRASIL>IMPORTADOR) +  (Jiangsu Tuoqiu Agrochemicals Co. Ltd - Jiangsu<CHINA, REPUBLICA POPULAR>FORMULADOR);PR;BRASIL;Com presença internacional
FMC Química do Brasil Ltda. - Campinas/SP;(Cheminova Deutschland GmbH & Co. KG <ALEMANHA>FORMULADOR) +  (Vittia S.A. - São Joaquim da Barra 01<BRASIL>FORMULADOR) +  (Althaller Itália S.r.l.<ITÁLIA>FORMULADOR);;ALEMANHA;Com presença internacional
Basf S.A.  São Paulo;(BASF Agri-Production SAS  Site Leurette<FRANÇA>FORMULADOR) +  (Basf Argentina S.A. - Santa Fé<ARGENTINA>FORMULADOR) +  (Basf Corporation - Beumont Texas<ESTADOS UNIDOS>FORMULADOR) +  (Basf  Espanola S.L. - Tarragona<ESPANHA>FORMULADOR) +  (BASF SE  - Ludwigshafen<ALEMANHA>FORMULADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Basf Corporation - Georgia<ESTADOS UNIDOS>FORMULADOR);SP;FRANÇA;Com presença internacional
Basf S.A.  São Paulo;(Basf Corporation - Beumont Texas<ESTADOS UNIDOS>FORMULADOR);;ESTADOS UNIDOS;Com presença internacional
Bayer S.A. - São Paulo/ SP;(Bayer S.A. - Belford Roxo<BRASIL>FORMULADOR);;BRASIL;Somente nacional
Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;(Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Qingdao Rainbow Chemical Co., Ltd <CHINA, REPUBLICA POPULAR>FORMULADOR);;CHINA, REPUBLICA POPULAR;Com presença internacional
Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;(Syngenta Proteção de Cultivos Ltda. - Paulínia<BRASIL>FORMULADOR) +  (Ipanema Industria de Produtos Veterinários Ltda.<BRASIL>FORMULADOR) +  (Server Química Ltda- Vera Cruz/SP<BRASIL>FORMULADOR) +  (Dinagro Agropecuária Ltda.<BRASIL>FORMULADOR);SP;BRASIL;Somente nacional
Basf S.A.  São Paulo;(BASF SE  - Ludwigshafen<ALEMANHA>FORMULADOR) +  (Basf Corporation - Georgia<ESTADOS UNIDOS>FORMULADOR) +  (Basf  Espanola S.L. - Tarragona<ESPANHA>FORMULADOR) +  (BASF Agri-Production SAS  Site Genay<FRANÇA>FORMULADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Agrocete Industria de Fertilizantes Ltda<BRASIL>FORMULADOR);SP;ALEMANHA;Com presença internacional
Globachem Proteção de Cultivos do Brasil Ltda. - Campinas/SP;(Shandong Binnong Technology CO., LTD<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR);;CHINA, REPUBLICA POPULAR;Com presença internacional
SM Agrocare Brasil Importação Comércio e Serviços Agrícolas Ltda;(Schirm Gmbh - Schönebeck<ALEMANHA>FORMULADOR) +  (Cheminova Deutschland GmbH & Co. KG <ALEMANHA>FORMULADOR) +  (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Nortox S.A. - Rondonópolis<BRASIL>FORMULADOR) +  (SML Limited  Unit I - Panoli<ÍNDIA>FORMULADOR) +  (Goplan S/A - Campinas<BRASIL>IMPORTADOR) +  (GOPLAN S/A - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (GOPLAN S/A - Araguaína/TO<BRASIL>IMPORTADOR) +  (GOPLAN S/A - Araguari/MG<BRASIL>IMPORTADOR) +  (Goplan S/A - Campinas<BRASIL>IMPORTADOR) +  (GOPLAN S/A - Carazinho/RS <BRASIL>IMPORTADOR) +  (GOPLAN S/A - Ibiporã/PR<BRASIL>IMPORTADOR) +  (Agrotechnica Industria E Comercio De Fertilizantes Ltda <BRASIL>FORMULADOR) +  (Agroallianz S.A<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Teixeira de Freitas/BA<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Mogi Mirim/SP<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Ji-Paraná/RO<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Imperatriz/MA<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A - Araguaína/TO<BRASIL>IMPORTADOR) +  (Casa do Adubo S.A -  - Nova Friburgo/RJ<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Araguaíana/TO<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Imperatriz/MA<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Indaiatuba/SP<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Ji-Paraná/RO<BRASIL>IMPORTADOR) +  (Casal Comércio e Serviços Ltda - Nova Friburgo/RJ<BRASIL>IMPORTADOR) +  (Nutrien Soluções Agrícolas Ltda.  Itapetininga/SP<BRASIL>IMPORTADOR) +  (Nutrien Soluções Agrícolas Ltda.  Morrinhos/GO<BRASIL>IMPORTADOR) +  (Nutrien Soluções Agrícolas Ltda.  Paulínia/SP<BRASIL>IMPORTADOR) +  (Nutrien Soluções Agrícolas Ltda.  São Paulo/SP<BRASIL>IMPORTADOR) +  (Nutrien Soluções Agrícolas Ltda.  Uberaba/MG<BRASIL>IMPORTADOR);CE;ALEMANHA;Com presença internacional
Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;(Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 02<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>IMPORTADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>IMPORTADOR) +  (Adama Brasil S.A. - Assis<BRASIL>IMPORTADOR) +  (Arysta Lifescience do Brasil  São Paulo(Incorporado pela UPL)<BRASIL>IMPORTADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>IMPORTADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>IMPORTADOR) +  (Arysta Lifescience do Brasil  (Incorporado pela UPL)<BRASIL>IMPORTADOR) +  (Basf S.A.  São Paulo<BRASIL>IMPORTADOR) +  (Corteva Agriscience do Brasil Ltda - Barueri (Alphaville)<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP<BRASIL>IMPORTADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>FORMULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>MANIPULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>MANIPULADOR) +  (Agrilean Inputs S.A. - Barueri/SP<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Foz do Iguaçu/PR<BRASIL>IMPORTADOR) +  (Agrilean Inputs S.A. - Cuiaba/MT<BRASIL>IMPORTADOR) +  (Agrilean Inputs S.A. - Luis Eduardo Magalhaes/BA<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas Ltda - Itu/SP<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas Ltda - Ibiporã-PR<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas Ltda - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Foz do Iguaçu/PR<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Foz do Iguaçu/PR<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Ibiporã/PR<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Paulínia/SP<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Foz do Iguaçu/PR<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Ibiporã/PR<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Paulínia/SP<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas Ltda Filial - Barueri/SP<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil Ltda  Paraguaçu Paulista/SP<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A. - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A.  São Paulo/SP<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A.  Cuiabá/MT<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A - Uberaba/MG<BRASIL>IMPORTADOR) +  (Araguaia S.A  Anápolis/GO<BRASIL>IMPORTADOR) +  (Araguaia S.A. - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Araguaia S.A. - Água Boa/MT<BRASIL>IMPORTADOR) +  (Araguaia S.A  Anápolis/GO<BRASIL>IMPORTADOR) +  (Araguaia S.A - Filial Sorriso/MT<BRASIL>IMPORTADOR);PR;CHINA, REPUBLICA POPULAR;Com presença internacional
Zhongshan Química do Brasil - Sorocaba/SP;(Zhejiang Zhongshan Chemical Industry Group Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (CCAB Agro S.A.   Luis Eduardo Magalhães<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Rondonópolis<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   São Paulo<BRASIL>IMPORTADOR) +  (CCAB Agro S.A. - Aparecida de Goiania/GO<BRASIL>IMPORTADOR) +  (CCAB Agro S.A. - Araguarina/TO<BRASIL>IMPORTADOR) +  (CCAB Agro S.A - Barueri<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.  Ibiporã<BRASIL>IMPORTADOR) +  (CCAB Agro S.A. - Sorriso/MT<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   São Paulo<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Luis Eduardo Magalhães<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Rondonópolis<BRASIL>IMPORTADOR) +  (CCAB Agro S.A. - Sorriso/MT<BRASIL>IMPORTADOR) +  (CCAB Agro S.A - Barueri<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.  Ibiporã<BRASIL>IMPORTADOR) +  (CCAB Agro S.A. - Araguarina/TO<BRASIL>IMPORTADOR) +  (CCAB Agro S.A. - Aparecida de Goiania/GO<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   São Paulo<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Luis Eduardo Magalhães<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   Rondonópolis<BRASIL>IMPORTADOR) +  (CCAB Agro S.A. - Sorriso/MT<BRASIL>IMPORTADOR) +  (CCAB Agro S.A - Barueri<BRASIL>IMPORTADOR) +  (CCAB Agro S.A.  Ibiporã<BRASIL>IMPORTADOR) +  (CCAB Agro S.A. - Araguarina/TO<BRASIL>IMPORTADOR) +  (CCAB Agro S.A. - Aparecida de Goiania/GO<BRASIL>IMPORTADOR) +  (Dekalpar Brasil Ltda - Londrina/PR<BRASIL>IMPORTADOR) +  (CCAB AGRO S.A. - Uberlândia-MG <BRASIL>IMPORTADOR) +  (CCAB Agro S.A.   São Paulo<BRASIL>IMPORTADOR);GO;CHINA, REPUBLICA POPULAR;Com presença internacional
Jubailireg Brasil Ltda - São Paulo/SP;(Jubaili Brasil Ltda - São Paulo/SP<BRASIL>IMPORTADOR) +  (Chemical Solution Pará Ltda <BRASIL>IMPORTADOR) +  (Chemical Solution Para Ltda. - Maceió/AL<BRASIL>IMPORTADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>MANIPULADOR);SP;BRASIL;Somente nacional
CCAB Agro S.A.   São Paulo;(Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 02<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Zhejiang Zhongshan Chemical Industry Group Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Binnong Technology CO., LTD<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>MANIPULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Oxiquímica Agrociência Ltda<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Agromol Biotech Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR);SP;CHINA, REPUBLICA POPULAR;Com presença internacional
Crotect Crop Science Ltda - São Paulo/SP;(Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Zhejiang Zhongshan Chemical Industry Group Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (Sinon do Brasil Ltda. - Porto Alegre /RS.<BRASIL>IMPORTADOR) +  (Sinon do Brasil Ltda. - Filial Passo Fundo/RS<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial <BRASIL>IMPORTADOR) +  (Shandong Binnong Technology CO., LTD<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhongshan Química do Brasil - Sorocaba/SP<BRASIL>IMPORTADOR) +  (Sinon do Brasil Ltda. - Filial Mariópolis/PR<BRASIL>IMPORTADOR) +  (Sinon do Brasil Ltda. - Filial Sumaré/SP<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasi- Carazinho/RS<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasi-  Cuiabá/MT<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasi- Ibiporã/PR <BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil Ltda -  Luis Eduardo Magalhães/BA<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil - Paulínia/SP<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (DKBR Trading S.A. - São Paulo/SP<BRASIL>IMPORTADOR) +  (Sinon do Brasil Ltda. - Filial Uberaba/MG<BRASIL>IMPORTADOR) +  (Nutrien Soluções Agrícolas Ltda.  São Paulo/SP<BRASIL>IMPORTADOR) +  (Nutrien Soluções Agrícolas Ltda.  Itapetininga/SP<BRASIL>IMPORTADOR) +  (Bocchi E Fabian Ltda - Sorriso-MT<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A.  São Paulo/SP<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A.  Cuiabá/MT<BRASIL>IMPORTADOR) +  (Louis Dreyfus Company Brasil S.A. - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Amaggi Exportação e Importação Ltda - Filial Cuiaba/MT<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Cerejeiras/RO<BRASIL>IMPORTADOR) +  (Chizhou Bioagriland Multichem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Fiagril Ltda.  Lucas do Rio Verde/MT<BRASIL>IMPORTADOR) +  (Henan Jinpeng Chemicals Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Solus do Brasil Ltda. - Carazinho<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda - Nova Mutum<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda. - Apucarana/PR- Parque Industrial <BRASIL>IMPORTADOR) +  (Agricola Alvorada S.A. - Primavera do Leste/MT (Parque industrial)<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  - Londrina<BRASIL>IMPORTADOR) +  (DKBR Trading S.A.  Cuiaba<BRASIL>IMPORTADOR) +  (Pilarquim Br Comercial Ltda.- São Paulo<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda - Apucarana/PR<BRASIL>IMPORTADOR) +  (Pioneira Insumos Agrícola Ltda  Lucas do Rio Verde/MT<BRASIL>IMPORTADOR) +  (Pioneira Insumos Agrícola Ltda  Sinop/MT<BRASIL>IMPORTADOR) +  (Pioneira Insumos Agricolas Ltda  Sorriso/MT<BRASIL>IMPORTADOR) +  (Agrícola Alvorada S.A. - Primavera Do Leste/MT<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Sorriso/ MT<BRASIL>IMPORTADOR) +  (BRA Defensivos Agrícolas Ltda - Piracicaba/SP<BRASIL>IMPORTADOR) +  (Somax Agro do Brasil Ltda - Foz do Iguaçu/PR<BRASIL>IMPORTADOR) +  (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Produtécnica Nordeste Comercio De Insumos Agrícolas Ltda -  Balsas/MA <BRASIL>IMPORTADOR) +  (Produtécnica Nordeste Comercio De Insumos Agrícolas Ltda - Bom Jesus/PI<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Matriz Cuiaba/MT<BRASIL>IMPORTADOR) +  (Amaggi Exportação e Importação Ltda - Filial Boa Vista/RR <BRASIL>IMPORTADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Fenasol S.A- Florida<URUGUAI>FORMULADOR) +  (AMAGGI EXPORTAÇÃO E IMPORTAÇÃO LTDA - Paragominas<BRASIL>IMPORTADOR) +;RS;BRASIL;Com presença internacional
CCAB Agro S.A.   São Paulo;(Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Tecnomyl S/A- Tierra Del Fuego<ARGENTINA>FORMULADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Qingdao Hisigma Chemicals Co., Ltd - Rudong<CHINA, REPUBLICA POPULAR>FORMULADOR);;PARAGUAI;Com presença internacional
